FIELD1,FIELD2,FIELD3
TTDM,5630,D
ADC,1090,A
ADC,1091,A
BFS,1453,E
EIB,1811,B
FMS,2402,C
GRIT,2662,B
GRIT,2663,A
GRIT,2664,A
GRIT,2665,A
IBP,2994,E
IBP,2995,E
IBP,2996,E
LDA,1102,
PFL,4089,J
PHT,4363,I
SEM,5004,B
ACT,1176,F
BMOR,1239,B
BMOR,1240,B
BOR,1372,B
BTDM,2102,F
BTDM,2103,F
EIB,1787,B
EIB,1788,B
FMP,2435,D
FMP,2436,D
FMP,2437,D
FMS,2381,A
FOR,2571,D
FOR,2572,D
HLM,2857,E
IBP,2966,F
IBP,2967,F
MCS,3471,G
PHT,4342,J
PSE,3168,A
QSRM,4607,H
SEM,4984,H
SEOR,3237,D
SEOR,3238,D
TTDM,5557,J
TTDM,5558,J
BFS,1481,K
BLTDM,1761,H
BLTDM,1762,H
CSP,1594,D
CSP,1595,D
CSP,1596,D
EIP,2074,G
EIP,2075,G
EIP,2076,G
ESB,2249,E
ESB,2250,A
IBP,3026,C
IBP,3027,C
LDA,1158,
MCS,3516,H
PBM,3990,F
RFSM,4791,C
AAM,1039,J
ACT,1164,E
BLTDM,1617,C
BLTDM,1618,C
BSM,1896,J
FMS,2373,F
HTDM,3172,E
HTDM,3173,E
MCS,3459,F
MTDM,3639,G
MTDM,3640,G
MTDM,3641,H
MTDM,3642,H
PFN,4192,E
PMK,4462,F
STDM,5163,H
STDM,5164,H
AAM,1070,H
ACT,1203,K
ACT,1204,B
BFS,1456,H
BSM,1926,I
BSM,1927,H
BSM,1928,G
BTDM,2164,C
BTDM,2165,C
BTDM,2166,D
BTDM,2167,D
BTDM,2168,A
BTDM,2169,A
FTDM,2634,G
FTDM,2635,G
HLM,2879,E
HRM,3030,J
HTDM,3262,B
HTDM,3263,B
MCS,3494,H
MTDM,3727,C
MTDM,3728,C
MTDM,3729,D
MTDM,3730,D
PBM,3963,B
RMS,4880,H
SEM,5008,E
SEM,5009,F
STDM,5257,I
STDM,5258,I
TTDM,5625,F
TTDM,5626,F
TTDM,5627,C
TTDM,5628,C
AAM,1007,K
ADC,1012,B
ADC,1013,B
ADC,1014,A
ADC,1015,A
ASM,1264,J
ASM,1265,I
BFS,1391,I
BFS,1392,J
BLTDM,1543,E
BLTDM,1544,E
BLTDM,1545,F
BLTDM,1546,F
BLTDM,1547,G
BLTDM,1548,G
BSM,1864,K
BTDM,2008,A
BTDM,2009,A
BTDM,2010,C
BTDM,2011,C
CMP,1448,B
CMP,1449,B
CMP,1450,B
EFB,1641,C
EFB,1642,C
EFB,1643,B
EFB,1644,B
EIB,1733,D
EIB,1734,D
EIP,1886,C
EIP,1887,C
EIP,1888,C
EIP,1889,I
EIP,1890,I
ESB,2200,F
FMP,2385,C
FMP,2386,C
FMP,2387,F
FMP,2388,F
FMS,2342,H
FMS,2343,J
FMS,2344,I
FTDM,2484,D
FTDM,2485,D
FTDM,2486,A
FTDM,2487,A
HLM,2815,E
HRM,2954,C
HRM,2955,K
HRM,2956,B
HRM,2957,A
HTDM,3096,C
HTDM,3097,C
HTDM,3098,D
HTDM,3099,D
HTDM,3100,A
HTDM,3101,A
HTPS,2869,B
HTPS,2870,A
IBP,2908,C
IBP,2909,C
IBP,2910,D
IBP,2911,D
LDA,1010,
MCS,3431,B
MCS,3432,K
MTDM,3567,C
MTDM,3568,C
PBM,3894,J
PBM,3895,I
PFL,4035,C
PFL,4036,B
PFL,4037,K
PFN,4163,H
PFN,4164,E
PHT,4300,B
PHT,4301,C
PMK,4434,K
PMK,4435,B
